Merchant_id,pos_ratio,Pos_Count,total_count
40314,0.1071,9,84
38414,0.107,116,1084
24901,0.1053,2,19
41214,0.1053,2,19
58901,0.1053,2,19
47310,0.105,25,238
49715,0.105,23,219
28607,0.1047,20,191
12501,0.1045,7,67
23705,0.1042,5,48
28613,0.1042,5,48
26909,0.1039,97,934
55801,0.1034,6,58
13802,0.1031,172,1668
42715,0.1031,30,291
32203,0.1026,4,39
56508,0.1026,144,1404
31004,0.1004,71,707
14805,0.1,3,30
25508,0.1,2,20
27201,0.1,1,10
39607,0.1,6,60
23012,0.0989,9,91
12503,0.0985,124,1259
59001,0.0982,112,1141
46901,0.098,5,51
18502,0.0976,4,41
42315,0.0973,11,113
57109,0.0968,3,31
11803,0.0952,2,21
15913,0.0952,2,21
57508,0.0952,2,21
38410,0.0933,35,375
38304,0.093,102,1097
37304,0.0922,26,282
16207,0.0909,1,11
30815,0.0909,1,11
38900,0.0909,2,22
55012,0.0909,2,22
57312,0.0909,4,44
30103,0.0907,43,474
20713,0.0899,24,267
43714,0.0892,14,157
41101,0.0889,4,45
41400,0.0889,4,45
37902,0.0876,17,194
27215,0.087,6,69
40104,0.087,2,23
40107,0.087,8,92
50702,0.087,2,23
21914,0.0862,20,232
44712,0.0857,27,315
45812,0.0857,3,35
13215,0.0851,28,329
35213,0.0851,4,47
36805,0.0847,5,59
30314,0.0844,250,2962
34504,0.0842,16,190
10210,0.0833,2,24
23000,0.0833,8,96
26313,0.0833,4,48
32004,0.0833,3,36
46307,0.0833,2,24
46603,0.0833,3,36
49000,0.0833,3,36
38113,0.083,20,241
19913,0.0826,10,121
18403,0.0824,7,85
39505,0.0817,61,747
45100,0.0816,8,98
18913,0.0815,15,184
12607,0.0811,3,37
40504,0.0811,3,37
58315,0.0811,3,37
18010,0.0806,44,546
47712,0.0802,71,885
59007,0.0802,13,162
41103,0.08,2,25
51201,0.08,2,25
59510,0.08,6,75
49602,0.0794,5,63
31904,0.0778,7,90
35105,0.0778,14,180
39406,0.0775,40,516
31705,0.0769,5,65
43703,0.0769,2,26
47211,0.0769,1,13
48202,0.0769,1,13
54314,0.0769,10,130
54711,0.0769,2,26
58100,0.0769,2,26
55710,0.0766,39,509
11103,0.0762,39,512
23007,0.0762,8,105
18001,0.0753,7,93
47815,0.0749,72,961
31105,0.0748,11,147
52701,0.0748,8,107
19200,0.0737,58,787
50809,0.0735,5,68
17904,0.0732,15,205
21612,0.0732,6,82
59305,0.0732,3,41
23315,0.0729,7,96
35410,0.0729,31,425
40306,0.0728,33,453
56313,0.0727,4,55
42403,0.0726,9,124
26715,0.0721,16,222
50912,0.0719,12,167
10515,0.0718,13,181
45600,0.0714,1,14
46907,0.0714,1,14
47302,0.0714,3,42
53205,0.0714,1,14
56201,0.0714,1,14
57411,0.0714,4,56
52708,0.0711,96,1350
51000,0.0708,32,452
28902,0.0704,5,71
10709,0.0703,47,669
34206,0.0698,6,86
10503,0.0696,11,158
17602,0.0695,46,662
29715,0.0693,14,202
25314,0.069,2,29
45406,0.069,2,29
51304,0.069,2,29
16709,0.0687,25,364
23513,0.0686,43,627
47107,0.0686,12,175
38210,0.0685,66,963
39015,0.0683,31,454
35803,0.0671,116,1730
21904,0.0667,2,30
33601,0.0667,1,15
34605,0.0667,1,15
54306,0.0667,2,30
57401,0.0667,1,15
15600,0.0664,66,994
34302,0.0658,21,319
23604,0.0654,32,489
48213,0.0652,3,46
52110,0.0652,38,583
31006,0.0651,11,169
33702,0.0651,19,292
58805,0.0647,31,479
21310,0.0641,5,78
51413,0.0639,106,1659
11713,0.0638,3,47
18115,0.0638,3,47
18908,0.0638,3,47
20001,0.0638,3,47
30301,0.0637,34,534
45607,0.0634,222,3501
10800,0.0632,6,95
53108,0.0631,13,206
14707,0.0625,1,16
17114,0.0625,1,16
17407,0.0625,2,32
17804,0.0625,2,32
23415,0.0625,1,16
28609,0.0625,2,32
28703,0.0625,1,16
35102,0.0625,4,64
53811,0.0625,2,32
50304,0.0624,123,1971
26700,0.0623,133,2136
15014,0.0621,9,145
45902,0.062,57,919
12010,0.0615,44,715
42006,0.0614,7,114
29706,0.0612,3,49
51004,0.0612,3,49
41005,0.0611,8,131
25614,0.061,5,82
36611,0.061,76,1245
56913,0.0609,17,279
13401,0.0608,25,411
39808,0.0606,2,33
37407,0.0602,5,83
40210,0.0602,5,83
53702,0.0597,134,2245
59913,0.0597,8,134
45503,0.0593,112,1890
54602,0.0593,27,455
56310,0.0589,29,492
13510,0.0588,1,17
20102,0.0588,1,17
20812,0.0588,1,17
28901,0.0588,4,68
36415,0.0588,4,68
37603,0.0588,3,51
40406,0.0588,2,34
40915,0.0588,1,17
47412,0.0588,9,153
50511,0.0588,4,68
38708,0.0582,61,1048
38903,0.0577,3,52
25111,0.0571,2,35
35703,0.0571,4,70
44515,0.0571,8,140
52307,0.0571,2,35
46912,0.057,11,193
58410,0.0568,5,88
18012,0.0566,6,106
19413,0.0565,7,124
23812,0.0563,8,142
56509,0.0563,99,1758
59011,0.0563,8,142
35114,0.0562,15,267
54202,0.0562,5,89
43711,0.0561,6,107
17313,0.0558,47,842
25408,0.0556,4,72
29409,0.0556,4,72
31709,0.0556,1,18
34002,0.0556,4,72
39606,0.0556,5,90
53607,0.0556,1,18
54304,0.0556,1,18
54310,0.0556,2,36
56507,0.0556,1,18
59801,0.0556,1,18
18801,0.0554,16,289
50713,0.0552,16,290
11112,0.0551,13,236
45312,0.0549,5,91
32107,0.0548,4,73
40909,0.0547,7,128
57710,0.0547,14,256
52306,0.0545,3,55
20205,0.0543,7,129
20208,0.0543,5,92
25104,0.0543,347,6396
17507,0.0541,2,37
26913,0.0541,6,111
50307,0.0541,8,148
12011,0.0539,9,167
44101,0.0538,5,93
48612,0.0537,8,149
18009,0.0535,30,561
34514,0.0534,15,281
13105,0.0533,26,488
25912,0.0533,39,732
32008,0.0533,40,750
53002,0.0533,34,638
31601,0.0529,22,416
39110,0.0529,38,718
15604,0.0528,16,303
11213,0.0526,2,38
16313,0.0526,1,19
17212,0.0526,1,19
24108,0.0526,1,19
33304,0.0526,2,38
35914,0.0526,9,171
45707,0.0526,1,19
45904,0.0526,2,38
51003,0.0526,2,38
59815,0.0526,1,19
35512,0.0525,16,305
53608,0.0524,11,210
25701,0.0522,7,134
41112,0.052,332,6390
46410,0.0519,4,77
57012,0.0519,4,77
13309,0.0517,6,116
19108,0.0517,3,58
19208,0.0517,3,58
32509,0.0514,11,214
26709,0.0513,4,78
37311,0.0513,2,39
40603,0.0513,2,39
55311,0.0513,6,117
25800,0.0507,48,947
29008,0.0507,11,217
33510,0.0504,57,1131
43500,0.0504,18,357
12908,0.05,3,60
17204,0.05,1,20
18810,0.05,1,20
21209,0.05,1,20
27806,0.05,2,40
37609,0.05,10,200
55906,0.05,9,180
36705,0.0496,23,464
23006,0.0495,16,323
40805,0.0492,19,386
31912,0.049,28,571
43400,0.049,5,102
23308,0.0488,2,41
33007,0.0488,2,41
22712,0.0486,7,144
54008,0.0485,10,206
35300,0.0484,3,62
16400,0.0483,10,207
23515,0.0481,41,853
28307,0.0481,5,104
54714,0.0481,5,104
51810,0.0478,98,2050
15108,0.0476,3,63
23200,0.0476,1,21
32001,0.0476,1,21
40501,0.0476,1,21
42307,0.0476,2,42
42709,0.0476,4,84
49401,0.0476,2,42
25808,0.0472,12,254
28906,0.0471,4,85
24012,0.0468,35,748
27012,0.0466,16,343
27808,0.0465,4,86
36108,0.0465,4,86
42904,0.0463,5,108
27700,0.0462,3,65
40706,0.0461,20,434
57104,0.0459,93,2024
24402,0.0458,6,131
49304,0.0458,7,153
10605,0.0455,1,22
18805,0.0455,2,44
37403,0.0455,1,22
48106,0.0455,6,132
49700,0.0455,27,593
52007,0.0455,1,22
55305,0.0455,1,22
56611,0.0455,3,66
29810,0.0452,29,642
30307,0.0451,6,133
53912,0.0451,6,133
56304,0.0451,56,1241
21707,0.0449,7,156
22109,0.0449,23,512
40213,0.0449,4,89
46403,0.0449,28,624
45610,0.0447,16,358
21512,0.0446,5,112
39002,0.0446,7,157
18102,0.0444,12,270
31210,0.0444,2,45
51714,0.0444,2,45
57612,0.0443,25,564
18511,0.0441,3,68
15200,0.0439,9,205
24802,0.0439,9,205
35211,0.0438,7,160
43912,0.0438,7,160
38110,0.0435,1,23
44902,0.0435,1,23
48309,0.0435,2,46
52805,0.0435,1,23
53308,0.0435,1,23
56014,0.0435,1,23
57811,0.0435,2,46
25606,0.0429,3,70
11305,0.0427,5,117
49211,0.0427,68,1593
44305,0.0426,2,47
48305,0.0426,6,141
50512,0.0426,4,94
52311,0.0426,2,47
57406,0.0426,2,47
49902,0.0422,10,237
12803,0.0417,1,24
22312,0.0417,3,72
22902,0.0417,1,24
31215,0.0417,1,24
36607,0.0417,1,24
39800,0.0417,2,48
48915,0.0417,1,24
56414,0.0417,4,96
59901,0.0417,4,96
31503,0.041,21,512
14610,0.0408,2,49
47702,0.0408,2,49
52102,0.0408,2,49
12813,0.0405,3,74
40605,0.0404,4,99
41306,0.0404,39,966
53910,0.0403,6,149
48813,0.0402,126,3134
10808,0.04,3,75
11706,0.04,1,25
29111,0.04,4,100
53802,0.04,2,50
54612,0.04,1,25
58206,0.04,8,200
21106,0.0397,5,126
54800,0.0397,5,126
15112,0.0396,9,227
38505,0.0396,4,101
24315,0.0395,3,76
12411,0.0393,14,356
27812,0.0392,4,102
14411,0.0387,7,181
59710,0.0386,11,285
17512,0.0385,1,26
18906,0.0385,6,156
22811,0.0385,9,234
26705,0.0385,98,2546
27113,0.0385,2,52
30100,0.0385,1,26
33402,0.0385,2,52
39005,0.0385,1,26
54608,0.0385,1,26
55409,0.0383,11,287
20902,0.0381,9,236
22011,0.038,56,1474
34406,0.0378,15,397
23905,0.0377,2,53
38911,0.0376,5,133
13200,0.0375,81,2159
13607,0.0372,21,564
11002,0.037,3,81
14913,0.037,1,27
22507,0.037,1,27
29806,0.037,1,27
30408,0.037,1,27
39305,0.037,4,108
50213,0.037,1,27
43702,0.0369,12,325
48315,0.0368,5,136
51514,0.0368,11,299
27502,0.0365,19,520
20010,0.0362,13,359
14701,0.036,4,111
21315,0.036,8,222
22610,0.036,28,778
31811,0.036,4,111
11100,0.0357,1,28
20710,0.0357,1,28
21011,0.0357,2,56
24814,0.0357,2,56
41700,0.0357,2,56
18400,0.0356,8,225
43311,0.0356,10,281
18812,0.0354,4,113
29904,0.0354,8,226
13311,0.0353,6,170
25401,0.0353,6,170
37302,0.0353,6,170
25310,0.0352,5,142
51907,0.0351,4,114
49411,0.0349,3,86
20008,0.0345,1,29
29914,0.0345,3,87
36314,0.0345,3,87
37206,0.0345,1,29
40113,0.0345,1,29
58904,0.0345,2,58
59003,0.0345,3,87
59204,0.0345,1,29
17914,0.0344,10,291
59810,0.0343,8,233
58613,0.0342,34,995
22104,0.0339,2,59
29308,0.0339,15,442
34607,0.0339,2,59
35303,0.0334,29,869
46211,0.0334,13,389
13008,0.0333,1,30
23101,0.0333,1,30
30508,0.0333,2,60
45014,0.0333,1,30
48114,0.0333,1,30
59315,0.0333,1,30
16404,0.0332,30,903
10111,0.033,3,91
11402,0.0328,4,122
26807,0.0328,4,122
38105,0.0328,4,122
41905,0.0328,16,488
51009,0.0328,4,122
58011,0.0327,50,1531
23512,0.0326,3,92
19409,0.0324,7,216
24208,0.0323,2,62
25101,0.0323,1,31
27602,0.0323,1,31
30015,0.0323,1,31
43607,0.0323,4,124
44614,0.0323,1,31
48614,0.0323,4,124
49906,0.0323,6,186
51906,0.0323,21,651
52709,0.0323,1,31
53605,0.0323,2,62
58009,0.0323,1,31
31505,0.0322,13,404
45009,0.0321,11,343
54102,0.0321,26,809
18815,0.0318,44,1384
59605,0.0317,6,189
32212,0.0315,18,571
12312,0.0313,2,64
14213,0.0313,1,32
15115,0.0313,11,352
19506,0.0313,1,32
23213,0.0313,18,575
26814,0.0313,12,383
30901,0.0313,1,32
39712,0.0313,1,32
43402,0.0313,1,32
49510,0.0313,2,64
51403,0.0313,1,32
52415,0.0313,26,831
53509,0.0313,2,64
53905,0.0313,1,32
30703,0.0311,10,322
39709,0.0311,17,547
50903,0.0311,8,257
58709,0.0309,5,162
19914,0.0308,8,260
53301,0.0308,12,390
59609,0.0306,22,720
20608,0.0303,2,66
28705,0.0303,1,33
31001,0.0303,2,66
31604,0.0303,1,33
37606,0.0303,1,33
48311,0.0303,1,33
48409,0.0303,1,33
55415,0.0303,4,132
57307,0.0303,1,33
59108,0.0303,1,33
30514,0.0301,5,166
40709,0.03,3,100
18003,0.0299,4,134
25403,0.0299,8,268
26508,0.0299,2,67
49108,0.0297,6,202
40510,0.0295,61,2069
10304,0.0294,1,34
11107,0.0294,1,34
21311,0.0294,1,34
22515,0.0294,1,34
41000,0.0294,1,34
47605,0.0294,1,34
48803,0.0294,2,68
56715,0.0294,1,34
56912,0.0294,1,34
16307,0.0291,15,515
33715,0.0291,6,206
18807,0.029,2,69
36203,0.029,2,69
10911,0.0289,7,242
50310,0.0289,7,242
55013,0.0287,55,1915
15312,0.0286,1,35
24902,0.0286,1,35
26506,0.0286,2,70
27213,0.0286,1,35
42209,0.0286,1,35
42608,0.0286,1,35
48104,0.0286,1,35
46714,0.0284,4,141
48910,0.0284,5,176
18901,0.0282,2,71
26811,0.0282,2,71
59004,0.0282,2,71
21302,0.0281,7,249
49301,0.0281,16,570
43811,0.028,3,107
12715,0.0278,1,36
16403,0.0278,1,36
24803,0.0278,1,36
39604,0.0278,1,36
55206,0.0278,2,72
57909,0.0278,1,36
32214,0.0277,16,577
32205,0.0276,4,145
40206,0.0276,4,145
30902,0.0275,7,255
10102,0.0274,2,73
12500,0.0274,2,73
47006,0.0274,2,73
53510,0.0274,4,146
29310,0.0272,4,147
39211,0.0272,4,147
18405,0.027,2,74
29006,0.027,1,37
34815,0.027,3,111
49306,0.027,2,74
56205,0.027,2,74
11302,0.0269,6,223
49501,0.0269,13,484
34213,0.0268,44,1642
11009,0.0267,2,75
11813,0.0267,2,75
15311,0.0267,2,75
17100,0.0267,7,262
27601,0.0266,22,827
27500,0.0265,6,226
57310,0.0265,3,113
17205,0.0263,1,38
20807,0.0263,2,76
28800,0.0263,1,38
34412,0.0263,1,38
37100,0.0263,2,76
29108,0.026,4,154
46610,0.026,4,154
42214,0.0259,6,232
22400,0.0256,1,39
27905,0.0256,8,313
36006,0.0256,3,117
37211,0.0256,1,39
37500,0.0256,1,39
38803,0.0256,1,39
16209,0.0253,2,79
41207,0.0253,30,1188
13003,0.0252,18,713
15705,0.0251,5,199
29606,0.0251,13,518
37314,0.0251,6,239
48005,0.0251,5,199
57906,0.0251,14,557
17010,0.025,2,80
17800,0.025,1,40
24206,0.025,1,40
24414,0.025,1,40
26210,0.025,4,160
26504,0.025,1,40
37400,0.025,3,120
41009,0.025,1,40
44605,0.025,2,80
44906,0.025,1,40
50602,0.0248,4,161
18907,0.0247,994,40283
23304,0.0247,12,486
11505,0.0244,1,41
18113,0.0244,6,246
25802,0.0244,1,41
34000,0.0244,1,41
57805,0.0244,2,82
40215,0.0242,3,124
55500,0.0242,3,124
30908,0.0241,4,166
28403,0.0238,1,42
30915,0.0238,1,42
31211,0.0238,1,42
39306,0.0238,1,42
49308,0.0238,1,42
53513,0.0238,2,84
55212,0.0238,3,126
57507,0.0238,2,84
58211,0.0238,1,42
59102,0.0238,1,42
50514,0.0237,47,1979
14305,0.0236,730,30962
10414,0.0235,6,255
53614,0.0235,8,340
14910,0.0234,12,512
33405,0.0234,3,128
51101,0.0234,4,171
32513,0.0233,1,43
44912,0.0233,2,86
48907,0.0233,1,43
54801,0.0233,1,43
58604,0.0233,6,258
14809,0.023,2,87
20806,0.023,2,87
45201,0.0229,4,175
41006,0.0228,8,351
14613,0.0227,2,88
18104,0.0227,1,44
24508,0.0227,1,44
31808,0.0227,1,44
37505,0.0227,1,44
37709,0.0227,1,44
40302,0.0227,1,44
49801,0.0227,1,44
51601,0.0227,7,309
48901,0.0226,3,133
52103,0.0225,4,178
19600,0.0222,1,45
20100,0.0222,1,45
24612,0.0222,2,90
25006,0.0222,1,45
44811,0.0222,2,90
52505,0.0222,1,45
56400,0.0222,1,45
10708,0.0221,4,181
17903,0.022,4,182
13400,0.0219,3,137
37005,0.0219,22,1004
43011,0.0219,5,228
18111,0.0218,5,229
12102,0.0217,1,46
55608,0.0217,1,46
59802,0.0217,1,46
25607,0.0216,11,510
38310,0.0216,7,324
49202,0.0215,2,93
21014,0.0213,1,47
22601,0.0213,10,470
52601,0.0213,1,47
16901,0.0212,28,1322
12310,0.0211,2,95
30300,0.0211,15,711
32907,0.0211,7,332
24014,0.021,18,858
40514,0.0209,13,621
17510,0.0208,1,48
37507,0.0208,3,144
46310,0.0208,1,48
55812,0.0208,10,480
59313,0.0208,1,48
15207,0.0204,1,49
16712,0.0204,2,98
26613,0.0204,1,49
37711,0.0204,6,294
47701,0.0204,1,49
58601,0.0204,2,98
22110,0.0202,6,297
16502,0.0201,6,299
11702,0.02,2,100
12002,0.02,1,50
21214,0.02,1,50
24909,0.02,1,50
34313,0.02,1,50
53706,0.02,2,100
54407,0.02,1,50
56706,0.02,1,50
56705,0.0199,3,151
22005,0.0198,10,505
49210,0.0198,14,708
49800,0.0198,8,404
49901,0.0198,6,303
12711,0.0196,1,51
17102,0.0196,1,51
25313,0.0196,1,51
41405,0.0196,1,51
45611,0.0196,1,51
46904,0.0196,1,51
56608,0.0196,2,102
57311,0.0196,1,51
37602,0.0195,3,154
54706,0.0193,9,466
12415,0.0192,1,52
24415,0.0192,2,104
46303,0.0192,1,52
51505,0.0192,1,52
55413,0.0192,1,52
55805,0.0192,2,104
19801,0.0191,3,157
50103,0.0191,3,157
16701,0.019,5,263
51803,0.019,2,105
55815,0.019,12,632
13902,0.0189,2,106
15814,0.0189,3,159
17813,0.0189,1,53
19513,0.0189,1,53
28602,0.0189,1,53
28810,0.0189,1,53
38112,0.0189,7,371
45408,0.0189,1,53
55614,0.0189,1,53
22908,0.0188,18,959
30105,0.0188,10,531
37112,0.0188,9,479
19606,0.0187,14,749
11914,0.0185,1,54
28815,0.0185,2,108
37510,0.0185,5,271
48507,0.0185,1,54
21703,0.0183,2,109
28506,0.0183,2,109
45614,0.0183,2,109
13507,0.0182,3,165
25114,0.0182,1,55
37111,0.0182,4,220
51808,0.0182,3,165
52114,0.0182,2,110
50211,0.0181,16,882
10913,0.0179,2,112
15408,0.0179,1,56
17206,0.0179,2,112
19601,0.0179,1,56
19607,0.0179,1,56
22209,0.0179,10,560
24704,0.0179,1,56
27907,0.0179,1,56
38714,0.0179,1,56
58902,0.0179,1,56
59811,0.0179,2,112
31303,0.0178,13,730
55106,0.0176,6,340
10807,0.0175,2,114
27801,0.0175,1,57
32411,0.0175,1,57
38712,0.0175,7,399
39810,0.0175,1,57
41704,0.0175,1,57
45712,0.0175,6,343
53913,0.0175,1,57
55714,0.0175,2,114
11507,0.0174,2,115
36412,0.0174,2,115
58814,0.0174,2,115
12114,0.0172,1,58
14812,0.0172,5,290
21815,0.0172,1,58
29112,0.0172,1,58
31403,0.0172,1,58
37315,0.0172,2,116
42009,0.0172,5,290
42208,0.0172,1,58
46308,0.0172,1,58
58503,0.0172,1,58
21605,0.0169,1,59
37001,0.0169,2,118
52101,0.0169,3,177
55907,0.0169,4,236
37511,0.0168,2,119
42004,0.0168,5,297
50402,0.0168,6,357
23815,0.0167,1,60
29915,0.0167,1,60
31002,0.0167,1,60
35612,0.0167,1,60
40913,0.0167,1,60
45302,0.0167,1,60
49802,0.0167,1,60
51900,0.0167,4,240
52305,0.0167,2,120
54300,0.0167,4,240
55007,0.0167,2,120
59800,0.0167,1,60
37815,0.0166,69,4167
43215,0.0166,8,482
20312,0.0165,13,789
10203,0.0164,1,61
10211,0.0164,1,61
15601,0.0164,2,122
22707,0.0164,6,365
31810,0.0164,1,61
25201,0.0163,2,123
27100,0.0163,5,307
58210,0.0163,5,306
32210,0.0162,4,247
11106,0.0161,1,62
14615,0.0161,1,62
29604,0.0161,1,62
40710,0.0161,1,62
43300,0.0161,2,124
49400,0.0161,2,124
49607,0.0161,1,62
55003,0.0161,1,62
57305,0.0161,7,434
15812,0.016,2,125
23610,0.016,2,125
38914,0.016,3,188
11111,0.0159,1,63
11712,0.0159,32,2013
17413,0.0159,3,189
42314,0.0159,1,63
52915,0.0159,2,126
58608,0.0159,1,63
28514,0.0158,3,190
41915,0.0158,3,190
36113,0.0157,5,319
47611,0.0157,2,127
57001,0.0157,4,255
19806,0.0156,4,257
22613,0.0156,2,128
27001,0.0156,1,64
32112,0.0156,1,64
39901,0.0156,1,64
40407,0.0156,1,64
42412,0.0156,1,64
17913,0.0155,2,129
18410,0.0155,3,194
20115,0.0155,8,515
46314,0.0155,2,129
50301,0.0155,4,258
57802,0.0155,3,193
10110,0.0154,1,65
12604,0.0154,1,65
18002,0.0154,1,65
26113,0.0154,1,65
42005,0.0154,9,585
42814,0.0154,1,65
56108,0.0154,1,65
21314,0.0153,6,392
39003,0.0153,2,131
45809,0.0153,6,392
13501,0.0152,1,66
15002,0.0152,1,66
19507,0.0152,3,197
37011,0.0152,1,66
39213,0.0152,4,263
41506,0.0152,1,66
44312,0.0152,1,66
59308,0.0152,1,66
59708,0.0151,4,265
16706,0.015,3,200
52901,0.015,3,200
10704,0.0149,4,268
14502,0.0149,1,67
16704,0.0149,2,134
34200,0.0149,3,202
41312,0.0149,13,873
47804,0.0149,4,268
20904,0.0147,1,68
27712,0.0147,15,1023
37301,0.0147,15,1023
49100,0.0147,2,136
31504,0.0146,2,137
39915,0.0146,8,547
13107,0.0145,1,69
31612,0.0145,1,69
45602,0.0145,1,69
19303,0.0144,3,209
25011,0.0144,5,347
43808,0.0144,26,1800
10006,0.0143,2,140
25014,0.0143,1,70
31408,0.0143,1,70
45502,0.0143,1,70
31000,0.0142,5,352
40902,0.0142,3,211
29912,0.0141,47,3336
42910,0.0141,1,71
25600,0.014,78,5567
16511,0.0139,4,287
17909,0.0139,5,361
24608,0.0139,1,72
26912,0.0139,1,72
49109,0.0139,1,72
13914,0.0138,5,362
18509,0.0138,2,145
45404,0.0138,8,578
37208,0.0137,1,73
54911,0.0137,1,73
59113,0.0137,1,73
21704,0.0136,3,221
26203,0.0136,118,8696
32110,0.0136,34,2505
32611,0.0136,3,221
44702,0.0136,2,147
15708,0.0135,1,74
22314,0.0135,7,518
28102,0.0135,1,74
56101,0.0135,3,223
10714,0.0134,3,224
13006,0.0134,3,224
41204,0.0134,25,1861
50607,0.0134,2,149
25905,0.0133,1,75
32500,0.0133,1,75
16415,0.0132,7,531
37307,0.0132,1,76
39501,0.0132,2,152
54806,0.0132,2,152
17215,0.013,1,77
27506,0.013,3,230
55009,0.013,5,384
13600,0.0129,3,233
52611,0.0129,7,541
16011,0.0128,9,701
17604,0.0128,1,78
17606,0.0128,1,78
21204,0.0128,1,78
34802,0.0128,4,312
10504,0.0127,1,79
31406,0.0127,2,158
38013,0.0127,5,395
50104,0.0127,4,316
15910,0.0126,3,238
10601,0.0125,1,80
14202,0.0125,1,80
34908,0.0125,1,80
35515,0.0125,1,80
51705,0.0125,1,80
54303,0.0125,67,5344
55010,0.0125,3,240
57505,0.0125,4,321
21507,0.0124,3,241
40801,0.0124,4,322
26011,0.0123,2,163
26908,0.0123,1,81
37102,0.0123,1,81
42705,0.0123,1,81
54811,0.0123,1,81
18212,0.0122,2,164
18412,0.0122,1,82
29309,0.0122,3,245
30407,0.0122,1,82
32413,0.0122,1,82
49900,0.0121,5,414
17003,0.012,1,83
21504,0.012,1,83
22114,0.012,1,83
23405,0.012,2,167
27710,0.012,24,1992
27900,0.012,1,83
34805,0.012,30,2495
56606,0.012,1,83
10001,0.0119,11,921
11903,0.0119,2,168
17506,0.0119,1,84
20802,0.0119,1,84
30202,0.0119,1,84
53603,0.0119,1,84
56607,0.0119,5,420
19101,0.0118,1,85
24408,0.0118,2,169
29412,0.0118,2,170
52606,0.0118,1,85
58705,0.0118,2,170
27108,0.0117,4,341
56200,0.0117,4,341
18712,0.0116,2,173
30715,0.0116,4,344
32310,0.0116,2,172
41403,0.0115,1,87
23013,0.0114,1,88
37210,0.0114,1,88
51508,0.0114,2,176
13706,0.0112,4,356
41010,0.0112,7,623
44706,0.0112,35,3131
49513,0.0112,2,178
58202,0.0112,1,89
24609,0.0111,2,180
36103,0.0111,3,271
46906,0.0111,1,90
46913,0.0111,3,270
24503,0.011,1,91
25707,0.011,6,546
30704,0.011,1,91
30710,0.011,1,91
34212,0.011,2,181
56404,0.011,1,91
17707,0.0109,3,274
27407,0.0109,1,92
31515,0.0109,2,183
32111,0.0109,1,92
47411,0.0109,1,92
50813,0.0109,2,183
57913,0.0109,1,92
16711,0.0108,1,93
33606,0.0108,3,277
35500,0.0108,1,93
36811,0.0108,4,370
42309,0.0108,3,279
46212,0.0108,1,93
46914,0.0108,2,185
54609,0.0108,1,93
13412,0.0107,4,374
15701,0.0107,4,373
26602,0.0107,2,187
51109,0.0107,6,562
36911,0.0106,1,94
52105,0.0106,1,94
46508,0.0105,3,285
47505,0.0105,2,191
54909,0.0105,1,95
55501,0.0105,1,95
11201,0.0104,1,96
